day;exposed;infectous;infected;recovered;susceptible;infected_cum
0;10;0;10;0;4990;10
1;10;0;10;0;4990;10
2;10;0;10;0;4990;10
3;10;0;10;0;4990;10
4;10;0;10;0;4990;10
5;0;10;10;0;4990;10
6;2;10;12;0;4988;12
7;7;10;17;0;4983;17
8;9;10;19;0;4981;19
9;11;10;21;0;4979;21
10;18;10;28;0;4972;28
11;22;12;34;0;4966;34
12;21;17;38;0;4962;38
13;28;19;47;0;4953;47
14;36;11;47;10;4943;57
15;32;18;50;10;4940;60
16;32;24;56;10;4934;66
17;36;28;64;10;4926;74
18;39;37;76;10;4914;86
19;42;47;89;10;4901;99
20;58;48;106;12;4882;118
21;69;49;118;17;4865;135
22;78;55;133;19;4848;152
23;79;65;144;21;4835;165
24;81;71;152;28;4820;180
25;95;84;179;34;4787;213
26;111;97;208;38;4754;246
27;132;105;237;47;4716;284
28;157;108;265;57;4678;322
29;176;120;296;60;4644;356
30;184;147;331;66;4603;397
31;207;172;379;74;4547;453
32;221;198;419;86;4495;505
33;268;223;491;99;4410;590
34;300;238;538;118;4344;656
35;323;262;585;135;4280;720
36;361;301;662;152;4186;814
37;413;340;753;165;4082;918
38;450;410;860;180;3960;1040
39;527;443;970;213;3817;1183
40;589;474;1063;246;3691;1309
41;603;530;1133;284;3583;1417
42;644;596;1240;322;3438;1562
43;710;684;1394;356;3250;1750
44;741;786;1527;397;3076;1924
45;790;856;1646;453;2901;2099
46;880;912;1792;505;2703;2297
47;931;972;1903;590;2507;2493
48;935;1094;2029;656;2315;2685
49;989;1204;2193;720;2087;2913
50;999;1285;2284;814;1902;3098
51;991;1379;2370;918;1712;3288
52;998;1453;2451;1040;1509;3491
53;1000;1502;2502;1183;1315;3685
54;940;1604;2544;1309;1147;3853
55;903;1681;2584;1417;999;4001
56;852;1726;2578;1562;860;4140
57;769;1741;2510;1750;740;4260
58;666;1761;2427;1924;649;4351
59;586;1754;2340;2099;561;4439
60;517;1704;2221;2297;482;4518
61;436;1647;2083;2493;424;4576
62;364;1575;1939;2685;376;4624
63;312;1438;1750;2913;337;4663
64;263;1341;1604;3098;298;4702
65;210;1230;1440;3288;272;4728
66;176;1085;1261;3491;248;4752
67;142;939;1081;3685;234;4766
68;113;810;923;3853;224;4776
69;87;701;788;4001;211;4789
70;75;588;663;4140;197;4803
71;60;492;552;4260;188;4812
72;52;415;467;4351;182;4818
73;45;337;382;4439;179;4821
74;36;271;307;4518;175;4825
75;24;227;251;4576;173;4827
76;16;188;204;4624;172;4828
77;12;155;167;4663;170;4830
78;11;119;130;4702;168;4832
79;10;97;107;4728;165;4835
80;10;75;85;4752;163;4837
81;10;62;72;4766;162;4838
82;11;54;65;4776;159;4841
83;12;43;55;4789;156;4844
84;9;32;41;4803;156;4844
85;8;25;33;4812;155;4845
86;7;20;27;4818;155;4845
87;4;20;24;4821;155;4845
88;2;19;21;4825;154;4846
89;2;17;19;4827;154;4846
90;1;17;18;4828;154;4846
91;1;15;16;4830;154;4846
92;1;13;14;4832;154;4846
93;0;11;11;4835;154;4846
94;0;9;9;4837;154;4846
95;0;8;8;4838;154;4846
96;0;5;5;4841;154;4846
97;0;2;2;4844;154;4846
