day;exposed;infectous;infected;recovered;susceptible;infected_cum
0;10;0;10;0;4990;10
1;10;0;10;0;4990;10
2;10;0;10;0;4990;10
3;10;0;10;0;4990;10
4;10;0;10;0;4990;10
5;0;10;10;0;4990;10
6;4;10;14;0;4986;14
7;7;10;17;0;4983;17
8;10;10;20;0;4980;20
9;11;10;21;0;4979;21
10;17;10;27;0;4973;27
11;15;14;29;0;4971;29
12;16;17;33;0;4967;33
13;18;20;38;0;4962;38
14;24;11;35;10;4955;45
15;22;17;39;10;4951;49
16;30;19;49;10;4941;59
17;32;23;55;10;4935;65
18;35;28;63;10;4927;73
19;34;35;69;10;4921;79
20;35;35;70;14;4916;84
21;37;42;79;17;4904;96
22;50;45;95;20;4885;115
23;59;52;111;21;4868;132
24;70;52;122;27;4851;149
25;83;55;138;29;4833;167
26;95;63;158;33;4809;191
27;94;77;171;38;4791;209
28;102;87;189;45;4766;234
29;110;100;210;49;4741;259
30;130;108;238;59;4703;297
31;147;126;273;65;4662;338
32;171;136;307;73;4620;380
33;199;155;354;79;4567;433
34;216;175;391;84;4525;475
35;232;201;433;96;4471;529
36;269;223;492;115;4393;607
37;301;248;549;132;4319;681
38;339;284;623;149;4228;772
39;376;308;684;167;4149;851
40;411;338;749;191;4060;940
41;440;398;838;209;3953;1047
42;478;447;925;234;3841;1159
43;508;513;1021;259;3720;1280
44;571;554;1125;297;3578;1422
45;650;602;1252;338;3410;1590
46;690;667;1357;380;3263;1737
47;746;726;1472;433;3095;1905
48;800;805;1605;475;2920;2080
49;818;893;1711;529;2760;2240
50;835;983;1818;607;2575;2425
51;861;1056;1917;681;2402;2598
52;899;1133;2032;772;2196;2804
53;888;1229;2117;851;2032;2968
54;922;1300;2222;940;1838;3162
55;915;1378;2293;1047;1660;3340
56;905;1439;2344;1159;1497;3503
57;851;1524;2375;1280;1345;3655
58;842;1546;2388;1422;1190;3810
59;776;1572;2348;1590;1062;3938
60;718;1603;2321;1737;942;4058
61;658;1598;2256;1905;839;4161
62;584;1575;2159;2080;761;4239
63;507;1570;2077;2240;683;4317
64;459;1513;1972;2425;603;4397
65;415;1460;1875;2598;527;4473
66;373;1357;1730;2804;466;4534
67;339;1271;1610;2968;422;4578
68;307;1155;1462;3162;376;4624
69;253;1057;1310;3340;350;4650
70;206;970;1176;3503;321;4679
71;176;879;1055;3655;290;4710
72;149;768;917;3810;273;4727
73;115;686;801;3938;261;4739
74;102;592;694;4058;248;4752
75;84;518;602;4161;237;4763
76;62;471;533;4239;228;4772
77;54;410;464;4317;219;4781
78;48;342;390;4397;213;4787
79;40;279;319;4473;208;4792
80;32;229;261;4534;205;4795
81;26;194;220;4578;202;4798
82;21;157;178;4624;198;4802
83;16;137;153;4650;197;4803
84;12;113;125;4679;196;4804
85;10;85;95;4710;195;4805
86;7;71;78;4727;195;4805
87;3;63;66;4739;195;4805
88;2;51;53;4752;195;4805
89;1;41;42;4763;195;4805
90;0;33;33;4772;195;4805
91;1;24;25;4781;194;4806
92;1;18;19;4787;194;4806
93;1;13;14;4792;194;4806
94;1;10;11;4795;194;4806
95;1;7;8;4798;194;4806
96;0;4;4;4802;194;4806
